case_id,process_name,activity,timestamp,resource,outcome,service_name
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T11:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T11:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T11:18:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T11:33:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T11:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T11:58:00,Housing Security Department,eligible,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Review Application,2026-08-01T12:08:00,Housing Security Department,reviewed,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Approve Application,2026-08-01T12:38:00,Housing Security Department,approved,S6 Housing Rental Subsidy Application Service
P2-001,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T12:43:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T13:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T13:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Request Additional Documents,2026-08-01T13:18:00,CityStart Platform,requested,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Additional Documents,2026-08-01T14:18:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T15:48:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T15:58:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T16:13:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T16:33:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T16:38:00,Housing Security Department,eligible,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Review Application,2026-08-01T16:48:00,Housing Security Department,reviewed,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Approve Application,2026-08-01T17:18:00,Housing Security Department,approved,S6 Housing Rental Subsidy Application Service
P2-002,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T17:23:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T15:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T15:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Request Additional Documents,2026-08-01T15:18:00,CityStart Platform,requested,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Additional Documents,2026-08-01T16:18:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T17:48:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Request Additional Documents,2026-08-01T17:58:00,CityStart Platform,requested_again,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Additional Documents,2026-08-01T19:58:00,Citizen,submitted_again,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T21:28:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T21:38:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T21:53:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T22:13:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T22:18:00,Housing Security Department,eligible,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Review Application,2026-08-01T22:28:00,Housing Security Department,reviewed,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Approve Application,2026-08-01T22:58:00,Housing Security Department,approved,S6 Housing Rental Subsidy Application Service
P2-003,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T23:03:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T17:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T17:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
