case_id,process_name,process_id,service_name,service_id,activity,timestamp,resource,lifecycle,outcome,application_status,duration_hours,variant
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-28T11:30:36Z,Citizen,complete,in_progress,pending,0.51,V1_DirectApproval
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-28T15:34:12Z,Public Security Department,complete,in_progress,pending,4.06,V1_DirectApproval
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-28T21:49:48Z,Public Security Department,complete,in_progress,pending,6.26,V1_DirectApproval
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-08-01T04:08:24Z,Public Security Department,complete,in_progress,under_review,78.31,V1_DirectApproval
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-01T10:53:24Z,Public Security Department,complete,approved,approved,6.75,V1_DirectApproval
P1-C0001,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-01T11:26:24Z,CityStart Platform,complete,in_progress,approved,0.55,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-23T13:28:12Z,Citizen,complete,in_progress,pending,0.47,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-23T15:28:12Z,Public Security Department,complete,in_progress,pending,2.0,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-24T08:55:12Z,Public Security Department,complete,in_progress,pending,17.45,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-28T10:45:36Z,Public Security Department,complete,in_progress,under_review,97.84,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-28T16:59:24Z,Public Security Department,complete,approved,approved,6.23,V1_DirectApproval
P1-C0002,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-28T17:43:12Z,CityStart Platform,complete,in_progress,approved,0.73,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-01T18:14:24Z,Citizen,complete,in_progress,pending,1.24,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-01T22:37:12Z,Public Security Department,complete,in_progress,pending,4.38,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-02T05:34:12Z,Public Security Department,complete,in_progress,pending,6.95,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-05T20:07:48Z,Public Security Department,complete,in_progress,under_review,86.56,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-06T02:00:36Z,Public Security Department,complete,approved,approved,5.88,V1_DirectApproval
P1-C0003,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-06T02:46:12Z,CityStart Platform,complete,in_progress,approved,0.76,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-25T10:48:00Z,Citizen,complete,in_progress,pending,0.8,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-25T12:30:36Z,Public Security Department,complete,in_progress,pending,1.71,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-26T08:20:24Z,Public Security Department,complete,in_progress,pending,19.83,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-08-01T23:47:24Z,Public Security Department,complete,in_progress,under_review,159.45,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-02T05:03:00Z,Public Security Department,complete,approved,approved,5.26,V1_DirectApproval
P1-C0004,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-02T05:30:36Z,CityStart Platform,complete,in_progress,approved,0.46,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-22T16:27:00Z,Citizen,complete,in_progress,pending,0.45,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-22T20:58:12Z,Public Security Department,complete,in_progress,pending,4.52,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-23T09:30:36Z,Public Security Department,complete,in_progress,pending,12.54,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-25T22:48:00Z,Public Security Department,complete,in_progress,under_review,61.29,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-26T04:57:00Z,Public Security Department,complete,approved,approved,6.15,V1_DirectApproval
P1-C0005,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-26T05:30:00Z,CityStart Platform,complete,in_progress,approved,0.55,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-29T10:30:36Z,Citizen,complete,in_progress,pending,0.51,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-29T12:13:48Z,Public Security Department,complete,in_progress,pending,1.72,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-29T19:33:00Z,Public Security Department,complete,in_progress,pending,7.32,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-08-02T15:12:00Z,Public Security Department,complete,in_progress,under_review,91.65,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-02T20:18:00Z,Public Security Department,complete,approved,approved,5.1,V1_DirectApproval
P1-C0006,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-02T20:55:48Z,CityStart Platform,complete,in_progress,approved,0.63,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-13T15:43:48Z,Citizen,complete,in_progress,pending,0.73,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-13T21:08:24Z,Public Security Department,complete,in_progress,pending,5.41,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-14T12:40:48Z,Public Security Department,complete,in_progress,pending,15.54,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-21T04:45:36Z,Public Security Department,complete,in_progress,under_review,160.08,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-21T14:15:00Z,Public Security Department,complete,approved,approved,9.49,V1_DirectApproval
P1-C0007,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-21T14:28:12Z,CityStart Platform,complete,in_progress,approved,0.22,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-10T16:37:48Z,Citizen,complete,in_progress,pending,0.63,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-10T17:54:36Z,Public Security Department,complete,in_progress,pending,1.28,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-11T00:18:00Z,Public Security Department,complete,in_progress,pending,6.39,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-14T18:54:00Z,Public Security Department,complete,in_progress,under_review,90.6,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-15T02:06:00Z,Public Security Department,complete,approved,approved,7.2,V1_DirectApproval
P1-C0008,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-15T02:33:36Z,CityStart Platform,complete,in_progress,approved,0.46,V1_DirectApproval
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-02T13:22:12Z,Citizen,complete,in_progress,pending,0.37,V1_DirectApproval
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-02T16:10:48Z,Public Security Department,complete,in_progress,pending,2.81,V1_DirectApproval
