case_id,process_name,activity,timestamp,resource,outcome,service_name,process_id,service_id,lifecycle,application_status,duration_hours,variant
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Submit Housing Subsidy Application,2026-07-24T15:31:48Z,Citizen,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,0.53,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Check Submitted Documents,2026-07-25T01:23:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,9.86,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Employment Information,2026-07-27T04:33:36Z,Human Resources Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,51.17,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Housing Information,2026-07-27T12:49:48Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,59.44,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Combine Verification Results,2026-07-27T19:04:12Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,6.24,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Assess Eligibility,2026-07-28T12:54:00Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,17.83,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Review Application,2026-07-29T11:48:00Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,under_review,22.9,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Approve Application,2026-07-29T19:30:36Z,Housing Security Department,approved,Housing Rental Subsidy Application Service,P2,S6,complete,approved,7.71,V1_DirectApproval
P2-C0001,Housing Rental Subsidy Application and Eligibility Verification Process,Notify Applicant,2026-07-29T19:39:36Z,CityStart Platform,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,approved,0.15,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Submit Housing Subsidy Application,2026-07-31T17:43:48Z,Citizen,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,0.73,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Check Submitted Documents,2026-08-01T03:46:12Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,10.04,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Employment Information,2026-08-03T02:18:36Z,Human Resources Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,46.54,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Housing Information,2026-08-03T10:18:00Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,54.53,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Combine Verification Results,2026-08-03T12:42:36Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,2.41,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Assess Eligibility,2026-08-04T11:03:36Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,22.35,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Review Application,2026-08-05T03:50:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,under_review,16.78,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Approve Application,2026-08-05T06:46:12Z,Housing Security Department,approved,Housing Rental Subsidy Application Service,P2,S6,complete,approved,2.93,V1_DirectApproval
P2-C0002,Housing Rental Subsidy Application and Eligibility Verification Process,Notify Applicant,2026-08-05T07:14:24Z,CityStart Platform,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,approved,0.47,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Submit Housing Subsidy Application,2026-07-11T15:46:48Z,Citizen,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,0.78,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Check Submitted Documents,2026-07-11T23:26:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,7.66,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Employment Information,2026-07-13T13:25:12Z,Human Resources Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,37.98,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Housing Information,2026-07-14T17:04:48Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,65.64,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Combine Verification Results,2026-07-14T20:41:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,3.61,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Assess Eligibility,2026-07-15T17:45:00Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,21.06,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Review Application,2026-07-17T12:23:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,under_review,42.64,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Approve Application,2026-07-17T16:08:24Z,Housing Security Department,approved,Housing Rental Subsidy Application Service,P2,S6,complete,approved,3.75,V1_DirectApproval
P2-C0003,Housing Rental Subsidy Application and Eligibility Verification Process,Notify Applicant,2026-07-17T16:30:00Z,CityStart Platform,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,approved,0.36,V1_DirectApproval
P2-C0004,Housing Rental Subsidy Application and Eligibility Verification Process,Submit Housing Subsidy Application,2026-07-28T15:24:36Z,Citizen,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,1.41,V1_DirectApproval
P2-C0004,Housing Rental Subsidy Application and Eligibility Verification Process,Check Submitted Documents,2026-07-29T02:21:00Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,10.94,V1_DirectApproval
P2-C0004,Housing Rental Subsidy Application and Eligibility Verification Process,Verify Housing Information,2026-07-31T04:35:24Z,Housing Security Department,in_progress,Housing Rental Subsidy Application Service,P2,S6,complete,pending,50.24,V1_DirectApproval
